"CD","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2121207,467,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,2
2121208,975,NA,NA,NA,NA,NA,1,NA,3,NA,2,NA,1
2121209,415,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2121210,684,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2121211,852,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,3
2121212,296,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2121213,728,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,2
2121214,528,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,3
2121215,816,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,2
2121216,855,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2121217,618,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2121218,686,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2121219,537,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2121220,637,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3
2121221,1252,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2121222,450,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3
2121223,660,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3
2121224,283,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3
2121225,839,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3
2121226,416,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2121301,874,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,2
2121302,898,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,2
2121303,985,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,2
2121304,533,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,1
2121305,668,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,2
2121306,760,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,1
2121307,822,NA,NA,NA,NA,NA,2,NA,3,NA,3,NA,2
2121308,163,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1
2121309,474,NA,NA,NA,NA,NA,3,NA,2,NA,1,NA,1
2121310,1092,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,1
2121311,844,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,1
2121312,991,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2121313,406,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2121314,550,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,1
2121315,343,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2121316,459,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,1
2121317,690,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,3
2121318,402,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,3
2130101,164,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,2
2130102,854,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130103,806,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,3
2130104,592,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,3
2130105,844,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2
2130106,791,NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,1
2130107,1065,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,2
2130108,1085,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130109,1004,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130110,1039,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,3
2130111,579,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130112,984,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,2
2130113,594,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,3
2130114,687,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,3
2130115,730,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130116,551,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,2
2130117,809,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,3
2130118,1077,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,2
2130119,851,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130120,675,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,2
2130121,587,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,2
2130122,377,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,3
2130123,531,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,2
2130124,342,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,3
2130125,523,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2
2130126,414,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130127,290,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,2
2130201,1040,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,2
2130202,703,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130203,919,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130204,946,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2
2130205,988,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130206,672,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2
2130207,930,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130208,878,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130209,963,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2
2130210,989,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130211,773,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130212,726,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130213,1098,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,2
2130301,890,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130302,633,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130303,851,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130304,588,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130305,912,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2130306,990,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130307,1210,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130308,683,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2130309,504,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2130310,1195,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130311,596,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2130312,802,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130313,1091,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130314,980,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,1
2130315,820,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130401,529,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130402,609,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2130403,973,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,1
2130404,869,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130405,352,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130406,878,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130407,858,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130408,932,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130409,583,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2130410,528,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130411,757,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130412,481,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130413,389,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130501,782,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130502,640,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130503,865,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130504,591,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2130505,600,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,1
2130506,1078,NA,NA,NA,NA,NA,2,NA,1,NA,3,NA,1
2130507,791,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130508,679,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,2
2130509,802,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130510,961,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,2
2130511,737,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,3
2130512,590,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1
2130513,590,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130601,639,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130602,775,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,1
2130603,463,NA,NA,NA,NA,NA,2,NA,3,NA,2,NA,3
2130604,704,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,3
2130605,614,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1
2130606,803,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1
2130607,872,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,3
2130608,537,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,3
2130609,345,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,3
2130610,940,NA,NA,NA,NA,NA,1,NA,2,NA,3,NA,3
