"SA1","Total population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1103304,385,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103305,315,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
1103306,281,NA,1,NA,3,NA,2,NA,1,NA,3,NA,2
1103307,206,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
1103308,441,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103309,73,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1
1103310,333,NA,1,NA,2,NA,2,NA,1,NA,3,NA,1
1103311,423,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103312,335,NA,1,NA,2,NA,1,NA,1,NA,3,NA,2
1103313,314,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103314,335,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103315,780,NA,3,NA,1,NA,2,NA,1,NA,3,NA,2
1103316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103317,504,NA,2,NA,1,NA,2,NA,1,NA,3,NA,1
1103318,209,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103319,400,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103320,NA,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,1
1103401,408,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103402,366,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1103403,585,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103404,279,NA,1,NA,2,NA,2,NA,1,NA,2,NA,1
1103405,398,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103406,157,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103407,269,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103408,329,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103409,308,NA,1,NA,1,NA,3,NA,1,NA,1,NA,2
1103410,404,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103411,482,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103412,504,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103413,383,NA,1,NA,1,NA,3,NA,1,NA,3,NA,1
1103414,388,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103415,150,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103416,448,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103417,370,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103418,546,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103419,331,NA,1,NA,2,NA,2,NA,1,NA,2,NA,2
1103501,603,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103502,346,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103503,489,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1103504,438,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103505,422,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103506,518,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103507,311,NA,1,NA,2,NA,3,NA,1,NA,2,NA,2
1103508,422,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103509,375,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103510,454,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103511,471,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1103512,334,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103513,329,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1103514,401,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103515,305,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103516,243,NA,1,NA,2,NA,2,NA,1,NA,3,NA,2
1103517,35,NA,1,NA,3,NA,1,NA,1,NA,1,NA,1
1103601,244,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103602,245,NA,1,NA,2,NA,1,NA,1,NA,3,NA,3
1103603,537,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103604,298,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103605,390,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103606,278,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103607,195,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1103608,341,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1103609,328,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103610,606,NA,2,NA,1,NA,1,NA,1,NA,2,NA,1
1103611,334,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1103612,177,NA,1,NA,2,NA,1,NA,1,NA,1,NA,1
1103613,393,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103614,549,NA,2,NA,1,NA,1,NA,1,NA,3,NA,1
1103615,258,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103616,316,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103617,360,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103618,259,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103619,489,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1103620,503,NA,3,NA,2,NA,3,NA,1,NA,3,NA,2
1103621,619,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1103622,318,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103701,669,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103702,522,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103703,689,NA,3,NA,1,NA,2,NA,1,NA,3,NA,2
1103704,239,NA,1,NA,2,NA,2,NA,1,NA,2,NA,3
1103705,461,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103706,369,NA,1,NA,1,NA,2,NA,1,NA,2,NA,3
1103707,482,NA,2,NA,2,NA,1,NA,1,NA,3,NA,3
1103708,219,NA,1,NA,2,NA,1,NA,1,NA,2,NA,2
1103709,575,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103710,397,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
1103711,302,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103712,293,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
1103713,600,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1103714,496,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103801,422,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103802,492,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103803,351,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103804,494,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103805,279,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1103806,264,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103807,409,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103808,267,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103809,528,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1103810,312,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103811,466,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103812,337,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103813,511,NA,2,NA,1,NA,2,NA,1,NA,2,NA,2
1103814,477,NA,2,NA,1,NA,3,NA,1,NA,3,NA,1
1103815,323,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103816,377,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103817,338,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103901,608,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103902,376,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103903,260,NA,1,NA,1,NA,3,NA,1,NA,2,NA,2
1103904,528,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103905,445,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103906,474,NA,2,NA,1,NA,3,NA,1,NA,2,NA,2
1103907,543,NA,2,NA,1,NA,2,NA,1,NA,3,NA,3
1103908,389,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103909,550,NA,2,NA,1,NA,3,NA,1,NA,3,NA,2
1103910,705,NA,3,NA,1,NA,3,NA,1,NA,3,NA,3
1103911,547,NA,3,NA,1,NA,3,NA,1,NA,3,NA,3
1103912,541,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103913,587,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1103914,323,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103915,417,NA,2,NA,1,NA,3,NA,1,NA,3,NA,3
1103916,480,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1103917,362,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1103918,507,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1103919,396,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103920,512,NA,2,NA,1,NA,3,NA,1,NA,3,NA,2
1103921,641,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103922,542,NA,1,NA,1,NA,3,NA,1,NA,3,NA,2
1103923,266,NA,1,NA,1,NA,1,NA,1,NA,3,NA,3
1103924,189,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103925,421,NA,2,NA,2,NA,2,NA,2,NA,2,NA,3
1103926,504,NA,1,NA,1,NA,3,NA,1,NA,2,NA,3
1103927,452,NA,1,NA,1,NA,2,NA,1,NA,3,NA,3
1104001,333,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1104002,287,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104003,324,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1104004,447,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1104005,319,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1104006,493,NA,2,NA,1,NA,3,NA,1,NA,2,NA,1
1104007,307,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104009,469,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104010,280,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104011,336,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104012,289,NA,1,NA,1,NA,2,NA,1,NA,1,NA,2
1104013,514,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104014,564,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104015,202,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1104016,513,NA,2,NA,1,NA,2,NA,2,NA,2,NA,3
1104017,601,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104018,453,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104019,419,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104020,412,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104021,401,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104022,245,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104023,290,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104024,519,NA,2,NA,1,NA,3,NA,1,NA,1,NA,1
1104025,282,NA,1,NA,2,NA,2,NA,1,NA,1,NA,1
1104026,587,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104027,273,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1104028,372,NA,1,NA,1,NA,1,NA,1,NA,2,NA,1
1104029,390,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104030,337,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104031,350,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1104032,215,NA,1,NA,2,NA,3,NA,1,NA,1,NA,1
1104033,370,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1104034,491,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
