"SA1","Total Persons","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
1103311,379,NA,2,NA,2,NA,1,NA,1,NA,3,NA,2
1103312,316,NA,1,NA,2,NA,1,NA,1,NA,3,NA,2
1103313,299,NA,1,NA,1,NA,1,NA,1,NA,2,NA,3
1103314,356,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103315,766,NA,3,NA,1,NA,2,NA,1,NA,3,NA,2
1103316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103317,525,NA,2,NA,1,NA,2,NA,1,NA,3,NA,2
1103318,201,NA,1,NA,3,NA,1,NA,1,NA,3,NA,2
1103319,365,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1103401,408,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103402,315,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103403,608,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103404,269,NA,1,NA,1,NA,2,NA,1,NA,2,NA,2
1103405,396,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103406,153,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1
1103407,299,NA,1,NA,1,NA,3,NA,1,NA,3,NA,3
1103408,331,NA,1,NA,1,NA,2,NA,1,NA,3,NA,2
1103409,321,NA,1,NA,1,NA,3,NA,1,NA,2,NA,1
1103410,396,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103411,486,NA,1,NA,1,NA,1,NA,1,NA,2,NA,2
1103412,531,NA,2,NA,1,NA,3,NA,1,NA,2,NA,2
1103413,372,NA,1,NA,1,NA,2,NA,1,NA,3,NA,1
1103414,429,NA,1,NA,1,NA,2,NA,1,NA,2,NA,1
1103415,192,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1
1103416,413,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103417,408,NA,1,NA,1,NA,2,NA,1,NA,1,NA,1
1103418,664,NA,1,NA,1,NA,3,NA,1,NA,1,NA,1
1103419,311,NA,1,NA,2,NA,1,NA,1,NA,3,NA,3
