"SA1","Population","Ethnicity-raw-count","Ethnicity-index","Ethnicity-raw-normalized","Ethnicity-norm-index","Mobility-raw-pct","Mobility-index","Generation-raw-SI","Generation-index","Income-raw-SI","Income-index","Education-raw-SI","Education-index"
2110904,478,NA,2,NA,2,NA,1,NA,2,NA,3,NA,3
2110905,335,NA,2,NA,3,NA,1,NA,2,NA,3,NA,2
2110906,501,NA,2,NA,1,NA,1,NA,2,NA,3,NA,2
2110907,449,NA,1,NA,1,NA,1,NA,2,NA,3,NA,2
2110908,326,NA,1,NA,2,NA,1,NA,2,NA,3,NA,3
2110909,506,NA,2,NA,1,NA,1,NA,2,NA,3,NA,2
2110910,313,NA,2,NA,3,NA,2,NA,2,NA,3,NA,2
2110911,488,NA,2,NA,1,NA,1,NA,2,NA,2,NA,3
2110912,394,NA,1,NA,1,NA,1,NA,1,NA,3,NA,2
2110913,442,NA,1,NA,1,NA,1,NA,3,NA,3,NA,2
2110914,320,NA,2,NA,3,NA,1,NA,2,NA,3,NA,3
2110915,402,NA,1,NA,1,NA,1,NA,2,NA,3,NA,2
2110916,340,NA,2,NA,3,NA,1,NA,2,NA,3,NA,2
2110917,425,NA,2,NA,2,NA,1,NA,3,NA,3,NA,2
2110918,507,NA,3,NA,2,NA,1,NA,2,NA,3,NA,2
2110919,455,NA,2,NA,1,NA,3,NA,2,NA,1,NA,3
2110920,385,NA,1,NA,2,NA,2,NA,1,NA,3,NA,3
2110921,400,NA,2,NA,2,NA,2,NA,1,NA,2,NA,3
2110922,467,NA,2,NA,2,NA,2,NA,1,NA,3,NA,3
2110923,428,NA,2,NA,2,NA,1,NA,2,NA,2,NA,2
2110924,273,NA,1,NA,3,NA,3,NA,2,NA,3,NA,2
2111001,542,NA,2,NA,1,NA,3,NA,3,NA,3,NA,1
2111002,432,NA,1,NA,1,NA,3,NA,3,NA,3,NA,1
2111003,536,NA,3,NA,2,NA,2,NA,3,NA,3,NA,1
2111004,290,NA,1,NA,2,NA,3,NA,3,NA,3,NA,2
2111005,282,NA,1,NA,2,NA,2,NA,2,NA,1,NA,1
2111006,558,NA,3,NA,2,NA,2,NA,3,NA,3,NA,2
2111007,485,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1
2111008,503,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1
2111009,NA,NA,1,NA,3,NA,3,NA,3,NA,NA,NA,1
2111010,669,NA,2,NA,1,NA,3,NA,2,NA,3,NA,2
2111011,312,NA,1,NA,3,NA,3,NA,2,NA,2,NA,2
2111012,463,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1
2111013,567,NA,2,NA,1,NA,2,NA,2,NA,3,NA,1
2111014,450,NA,3,NA,3,NA,3,NA,2,NA,3,NA,2
2111015,665,NA,3,NA,1,NA,3,NA,2,NA,3,NA,1
2111016,436,NA,2,NA,2,NA,1,NA,2,NA,3,NA,1
2111017,291,NA,1,NA,2,NA,2,NA,3,NA,3,NA,3
2111018,407,NA,2,NA,2,NA,3,NA,3,NA,2,NA,2
2111019,550,NA,2,NA,1,NA,3,NA,3,NA,3,NA,1
2111020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2111021,NA,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,1
2111022,483,NA,2,NA,2,NA,3,NA,2,NA,3,NA,1
2111101,347,NA,1,NA,2,NA,2,NA,3,NA,2,NA,2
2111102,408,NA,2,NA,2,NA,3,NA,2,NA,2,NA,1
2111103,768,NA,3,NA,1,NA,3,NA,2,NA,2,NA,1
2111104,644,NA,2,NA,1,NA,2,NA,2,NA,3,NA,1
2111105,562,NA,2,NA,1,NA,3,NA,2,NA,3,NA,2
2111106,371,NA,2,NA,3,NA,3,NA,2,NA,2,NA,1
2111107,490,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2111108,608,NA,2,NA,1,NA,2,NA,2,NA,3,NA,2
2111109,284,NA,1,NA,1,NA,1,NA,3,NA,3,NA,1
2111110,557,NA,2,NA,1,NA,2,NA,3,NA,3,NA,1
2111111,298,NA,1,NA,3,NA,2,NA,3,NA,2,NA,1
2111112,633,NA,2,NA,1,NA,2,NA,3,NA,3,NA,1
2111113,673,NA,3,NA,2,NA,2,NA,2,NA,3,NA,1
2111114,533,NA,3,NA,2,NA,3,NA,2,NA,3,NA,1
2111115,546,NA,3,NA,2,NA,2,NA,2,NA,3,NA,2
2111116,247,NA,1,NA,3,NA,2,NA,2,NA,2,NA,2
2111117,530,NA,3,NA,2,NA,3,NA,2,NA,2,NA,2
2111118,566,NA,3,NA,1,NA,2,NA,2,NA,3,NA,2
2111119,342,NA,1,NA,1,NA,2,NA,2,NA,3,NA,1
2111120,392,NA,2,NA,3,NA,3,NA,2,NA,1,NA,1
2111121,300,NA,1,NA,3,NA,3,NA,2,NA,3,NA,1
2111122,326,NA,1,NA,2,NA,3,NA,3,NA,3,NA,1
